patch	channels	sample_rate	frames	pcm16_sha256
examples/complex/multi_cloud_saturation.yaml	4	192000	192000	0b1bf93b3d95ffb1b629d3462765ec9904f86ed9b727605155c5999850c8080a
examples/complex/multi_extractor_orchestra.yaml	2	96000	96000	5d88b886aa33b35cdfc5a752365f44cb112b714c4b4523b74260613aebc8bdaa
examples/complex/stochastic_brownian.yaml	2	48000	48000	773491555e52929027fee4abeb0eaf51f41ced002e328fe6cbcb3ef0e1153af5
examples/drone_generator.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/flanger_effect.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/formant_preservation.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/glitch_stutter.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/granular_chorus.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/granular_delay.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/harsh_noise_wall.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/metallic_resonance.yaml	2	44100	44100	1659e992e5a0bee09e82cfe07f9d65bc49275796855e373cf9db503079ee3173
examples/mono/chaos_mono_04.yaml	1	48000	48000	a4b615a3210be26e54c9054d057fa3529a08c9ed5e9d72941917f0091026a0e8
examples/mono/chaos_mono_08.yaml	1	48000	48000	c2e6b5d4b4588562457a17e8168ccbc34ddc6d40b0cf16f5148b523f8f57f8ce
examples/mono/chaos_mono_13.yaml	1	48000	48000	e6943eb0727350d6dedd2e2991e87325c6b81cea3dd2efed580b045e1a219690
examples/mono/chaos_mono_20.yaml	1	48000	48000	1a6b03c254fd7110951178b954305f3b46208eccf5f6ca7eb01457b7217e355d
examples/mono/chaos_mono_29.yaml	1	48000	48000	8784adc18cfca525884d2a7cc0a82507dc96df29dafe06765f414e64935c13fd
